Bài Tình Ca,1
Ca Mừng Thiên Chúa,5
Khúc Hát Mặt Trời,6
Khi Ngoại Giới Chết Rồi,15
Cửa Ơi,18
Chúa Đã Sai Tôi Đi,20
Vua Hiển Vinh,22
Bạn Tình Ta Ơi,32
Hát Lên Bài Ca,33
Vì Lòng Chúa Bao La,35
Con Muốn Trọn Đời,37
Kinh Hòa Bình,38
Nỗi Niềm,43
Lời Con Kêu Khấn,49
Than Sầu Chi Mãi,50
Tiệc Đời Mai,52
Bài Thơ Tâm Tình,54
Cuộc Đời Không Có Chúa,58
Khúc Hát Mặt Trời,60
Lời Ca Dâng Chúa,64
Tôi Vui Mừng,65
Ai Được Lên Núi Thánh,67
Chúa Là Niềm Vui,68
Vào Cung Thánh,70
Cảm Mến Hồng Ân,72
Đối Tượng Duy Nhất,75
Giacaria,77
Nên Như Bé Thơ,87
Cao Cung Lên,88
Từ Rạng Đông,90
Ơn Phù Trợ,92
Xin Biểu Dương Uy Phong,93
Vạn Vật Hoan Ca,95
Bài Ca Mới,110
Tù Sion Được Dẫn Về,112
Tình Yêu Mãnh Liệt,114
Chúa Xét Dò Con,115
Cứ Dấu Này,116
Hát Lên Mừng Chúa,117
Từ Vực Sâu,119
Xin Chúa Là Ngọn Đuốc Thiêng,120
Lời Ca Viễn Khách,122
Khúc Nhạc Tôi Ca,125
Đi Tìm Người Yêu,127
Tìm Người,128
Lạy Thiên Chúa,130
Vì Con Là Của Chúa,136
Hướng Về Chúa,139
Khiêm Nhường Phục Vụ,141
Hiệp Thông Và Phục Vụ,144
Xin Theo Thầy,146
Bên Lòng Chúa,148
Con Nay Sẽ Lấy Gì,149
Tín Thác Lòng Thương Xót,151
Hãy Xót Thương,153
Như Cha Trên Trời,154
Như Nước Trong Nguồn,156
Nếu Chúa Không Xây Nhà,160
Nếu Chúa Không Xây Nhà,161
Ngày Về,162
Xin Gieo Sương Mai,164
Mong Chúa Đến,166
Hòa Bình Viên Mãn,168
Mòn Mỏi,169
Bờ Sông Babylon,173
Ngồi Tựa Dòng Sông Babylon,175
Bên Sông Babylon,176
Mục Đồng Hỡi 2,177
Mơ Về Thánh Điện,178
Nhìn Về Chúa,181
Xin Chúa Quay Trở Về,182
Bên Hang Đá,184
Đêm Giáng Sinh,188
Mầu Nhiệm Của Tình Thương,192
Đêm Đông Sương Gió,196
Trời Bừng Vui,199
Trong Đêm Tuyết Sương,201
Mùa Xuân Cứu Thế,203
Mùa Cứu Chuộc Ra Hoa,208
Khắp Trên Khung Trời,214
Một Vị Cứu Tinh,218
Ngày Thái Hòa,220
Màn Đêm Tỏa Lan,226
Hôm Nay,230
Noel Về,232
Ca Mừng Đêm Thánh,238
Hãy Vui Mừng Lên,239
Nhạc Hòa Bình,241
Muôn Lạy Vua Cứu Tinh,245
Vị Cứu Tinh,254
Giao Duyên,258
Trong Cánh Đồng Belem 1,266
Trong Cánh Đồng Belem 2,269
Nơi Belem,274
Bên Máng Cỏ,276
Theo Vì Sao Cứu Thế,277
Alleluia,283
Bóng Đêm Xuống Dần,288
Này Con Thiên Chúa,291
Kính Mừng Maria,293
Nếu Có Thể,294
Trở Lại Đi,295
Từ Lòng Vực Thẳm,297
Nếu Ngài Thương Con,300
Hãy Tỉnh Thức,310
Xin Tái Tạo Lòng Con,311
Ngày Về,312
Tình Chúa Yêu Con,324
Lễ Dâng Hôm Nay,325
Bài Ca Máu Đỏ,326
Nếu Con Nhớ,333
Ôi Thập Tự,334
Ôi Thập Tự,337
Mẹ Đứng Đó,339
Chúa Đã Phục Sinh,342
Mừng Chiến Thắng,345
Reo Mừng Chúa Thống Trị,348
Ở Lại Với Con,350
Trần Thế Vang Khúc Hoan Ca,351
Lạy Nữ Vương Thiên Đàng,352
Bước Theo Thần Khí,354
Xin Thánh Thần Ngự Đến,356
Lạy Nữ Vương,360
Giáo Xứ Của Mẹ,362
Maria,364
Hồn Tôi Ngợi Khen Chúa,366
Lạy Bà Chúa,370
Linh Hồn Tôi,372
Mẹ Nhân Lành,374
Mẹ Lên Trời,377
Theo Mẹ Về Trời,378
Thần Trí Tôi Mừng Vui,382
Kính Chào Nữ Vương,384
Tôi Hớn Hở Mừng Vui,385
Quỳ Đây,387
Ca Mừng Mẹ Vô Nhiễm Nguyên Tội,391
Cửa Trời Rộng Mở,393
Lúc Chiều Buông,395
Mẹ Đẹp,397
Ave Maria,401
Kìa Bà Nào,403
Kính Chào Đức Mẹ Tàpao,405
Bài Ca Ngàn Trùng,407
Lưu Danh Thiên Thu,409
Đoàn Người Anh Dũng,414
Đoàn Người Diễm Lệ,416
Ca Vang Khải Hoàn,418
Từ Lòng Đất Mẹ,422
Hạt Giống Phong Nhiêu,424
Tình Yêu Thiên Chúa,426
Từ Trước Muôn Đời,428
Muôn Câu Cảm Mến,431
Trong Thiên Chức Linh Mục,433
Hiến Lễ Đời Con,435
Suốt Cuộc Đời Con,437
Yêu Thương Đến Cùng,439
Phục Vụ Trong Đức Ái,441
Trong Thánh Thần Và Chân Lý,443
Này Là Mình Thầy,445
Dâng Lời Cảm Tạ,447
Tình Yêu Chúa Nhiệm Mầu,449
Năm Mươi Năm Hồng Phúc,451
Trong Chương Trình Của Chúa,454
Khúc Hát Mùa Xuân,457
Hương Xuân 1,461
Xuân Chầu Mẹ,464
Mùa Xuân Đến,467
Xin Mùa Xuân Tiến Lên,470
Xuân Sang,472
